PRODUCT_ID,LOCATION,ROUTE_ID,PREFERENCE,COST,BOM_ID,BOG_ID,EFFECTIVE_START,EFFECTIVE_END,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost,UDA_string_-_-_DMDSPEC,UDA_string_to_workorder_no_ASSY_LOC,UDA_string_to_workorder_no_FAB_LOC
500-4292,SZ_MOD,MODULE_LT,1,0,500-4292_SZ_MOD,-,-,-,-,-,-,1,-,-,-
260-0199,SZ_OB,OB_LT,1,0,260-0199_SZ_OB,-,-,-,-,-,-,1,-,-,-
280-1806,SZ_CB,CB_LT,1,0,280-1806_SZ_CB,-,-,-,-,-,-,1,-,-,-
280-1312-27,SZ_TXCOC,TXCOC_LT,1,0,280-1312-27_SZ_TXCOC,-,-,-,-,-,-,1,-,-,-
280-1312-29,SZ_TXCOC,TXCOC_LT,1,0,280-1312-29_SZ_TXCOC,-,-,-,-,-,-,1,-,-,-
280-1312-31,SZ_TXCOC,TXCOC_LT,1,0,280-1312-31_SZ_TXCOC,-,-,-,-,-,-,1,-,-,-
280-1312-33,SZ_TXCOC,TXCOC_LT,1,0,280-1312-33_SZ_TXCOC,-,-,-,-,-,-,1,-,-,-
223-0011,SZ_PREF,PREFORM_LT,1,0,,-,-,-,-,-,-,1,-,-,-
223-0012,SZ_PREF,PREFORM_LT,1,0,,-,-,-,-,-,-,1,-,-,-
500-4292,TL_MOD,MODULE,1,0,500-4292_TL_MOD,-,-,-,-,-,-,1,-,-,-
260-0199,TL_OB,OB,1,0,260-0199_TL_OB,-,-,-,-,-,-,1,-,-,-
280-1806,TL_CB,CB,1,0,280-1806_TL_CB,-,-,-,-,-,-,1,-,-,-
280-1312-27,TL_TXCOC,TXCOC,1,0,280-1312-27_TL_TXCOC,-,-,-,-,-,-,1,-,-,-
280-1312-29,TL_TXCOC,TXCOC,1,0,280-1312-29_TL_TXCOC,-,-,-,-,-,-,1,-,-,-
280-1312-31,TL_TXCOC,TXCOC,1,0,280-1312-31_TL_TXCOC,-,-,-,-,-,-,1,-,-,-
280-1312-33,TL_TXCOC,TXCOC,1,0,280-1312-33_TL_TXCOC,-,-,-,-,-,-,1,-,-,-
223-0011,TL_PREF,PREFORM,1,0,,-,-,-,-,-,-,1,-,-,-
223-0012,TL_PREF,PREFORM,1,0,,-,-,-,-,-,-,1,-,-,-
500-4292,TH_MOD,MODULE_LT,1,0,500-4292_TH_MOD,-,-,-,-,-,-,1,-,-,-
260-0199,TH_OB,OB_LT,1,0,260-0199_TH_OB,-,-,-,-,-,-,1,-,-,-
280-1806,TH_CB,CB_LT,1,0,280-1806_TH_CB,-,-,-,-,-,-,1,-,-,-
280-1312-27,TH_TXCOC,TXCOC_LT,1,0,280-1312-27_TH_TXCOC,-,-,-,-,-,-,1,-,-,-
280-1312-29,TH_TXCOC,TXCOC_LT,1,0,280-1312-29_TH_TXCOC,-,-,-,-,-,-,1,-,-,-
280-1312-31,TH_TXCOC,TXCOC_LT,1,0,280-1312-31_TH_TXCOC,-,-,-,-,-,-,1,-,-,-
280-1312-33,TH_TXCOC,TXCOC_LT,1,0,280-1312-33_TH_TXCOC,-,-,-,-,-,-,1,-,-,-
223-0011,TH_PREF,PREFORM_LT,1,0,,-,-,-,-,-,-,1,-,-,-
223-0012,TH_PREF,PREFORM_LT,1,0,,-,-,-,-,-,-,1,-,-,-
500-4292,TW_MOD,MODULE_LT,1,0,500-4292_TW_MOD,-,-,-,-,-,-,1,-,-,-
