OPERATION_ID,DESCRIPTION,MIN_WAIT_TIME,MAX_WAIT_TIME,DEFAULT_SETUP_TIME,FIRST_BATCH_TIME,FIRST_UNIT_TIME,UPH,POST_PROCESSING_TIME,BATCH_SCALE_FACTOR,YIELD_FACTOR,YIELD_LOST_QTY,BORA_ID,SETUP_TYPE,PROCESS_TYPE,CAPABLE_TYPE,TRANSFER_LOT_SIZE
OP_dummy,-,-,-,-,-,-,-,-,-,1,-,BORA_dummy,-,-,-,-
OP_Module_ASSY,-,-,-,-,-,-,1.42,-,-,1,-,BORA_Module_ASSY,-,-,-,-
OP_Module_ATS,-,-,-,-,-,-,5.92,-,-,1,-,BORA_Module_ATS,-,-,-,-
OP_Module_TCT,-,-,-,2.04,-,-,1.2,-,-,1,-,BORA_Module_TCT,-,-,-,-
OP_Module_BI,-,-,-,-,-,-,2.8,-,-,1,-,BORA_Module_BI,-,-,-,-
OP_Module_LINK,-,-,-,-,-,-,3.64,-,-,1,-,BORA_Module_LINK,-,-,-,-
OP_Module_OVERLOAD,-,-,-,-,-,-,1.04,-,-,1,-,BORA_Module_OVERLOAD,-,-,-,-
OP_Module_PrePKG,-,-,-,-,-,-,1.48,-,-,1,-,BORA_Module_PrePKG,-,-,-,-
OP_Module_PostPKG,-,-,-,-,-,-,1.15,-,-,1,-,BORA_Module_PostPKG,-,-,-,-
OP_OB_TXAA,-,-,-,-,-,-,3.86,-,-,1,-,BORA_OB_TXAA,-,-,-,-
OP_OB_RXAA,-,-,-,-,-,-,4.32,-,-,1,-,BORA_OB_RXAA,-,-,-,-
OP_OB_TCT,-,-,-,1.43,-,-,0.06,-,-,1,-,BORA_OB_TCT,-,-,-,-
OP_OB_TEST,-,-,-,6.66,-,-,1.43,2.62,-,1,-,BORA_OB_TEST,-,-,-,-
OP_CB_ASSY,-,-,-,-,-,-,1.17,-,-,1,-,BORA_CB_ASSY,-,-,-,-
OP_CB_DA,-,-,-,45.6,-,-,1.86,-,-,1,-,BORA_CB_DA,-,-,-,-
OP_CB_TXLENS,-,-,-,7.13,-,-,0.8,-,-,1,-,BORA_CB_TXLENS,-,-,-,-
OP_CB_WB,-,-,-,-,-,-,0.41,-,-,1,-,BORA_CB_WB,-,-,-,-
OP_CB_RXLENS,-,-,-,-,-,-,0.19,-,-,1,-,BORA_CB_RXLENS,-,-,-,-
OP_CB_TEST,-,-,-,-,-,-,0.45,5.61,-,1,-,BORA_CB_TEST,-,-,-,-
OP_TXCOC_CRYSTAL,-,-,-,-,-,-,0.07,-,-,1,-,BORA_TXCOC_CRYSTAL,-,-,-,-
OP_TXCOC_LASER,-,-,-,-,-,-,0.1,-,-,1,-,BORA_TXCOC_LASER,-,-,-,-
OP_TXCOC_GT,-,-,-,-,-,-,2.62,-,-,1,-,BORA_TXCOC_GT,-,-,-,-
OP_TXCOC_WB,-,-,-,-,-,-,0.2,-,-,1,-,BORA_TXCOC_WB,-,-,-,-
OP_TXCOC_BI,-,-,-,-,-,-,0.68,-,-,1,-,BORA_TXCOC_BI,-,-,-,-
OP_Preform_ASSY,-,-,-,-,-,-,0.3,-,-,1,-,BORA_Preform_ASSY,-,-,-,-
OP_Preform_TX_LENS,-,-,-,-,-,-,0.44,-,-,1,-,BORA_Preform_TX_LENS,-,-,-,-
OP_Preform_RX_LENS,-,-,-,-,-,-,0.44,-,-,1,-,BORA_Preform_RX_LENS,-,-,-,-
OP_Preform_TX_CLENS,-,-,-,-,-,-,0.34,-,-,1,-,BORA_Preform_TX_CLENS,-,-,-,-
OP_Preform_RX_CLENS,-,-,-,-,-,-,0.34,-,-,1,-,BORA_Preform_RX_CLENS,-,-,-,-
OP_Preform_OB,-,-,-,-,-,-,0.28,-,-,1,-,BORA_Preform_OB,-,-,-,-
OP_Preform_LASER,-,-,-,-,-,-,2.14,50,-,1,-,BORA_Preform_LASER,-,-,-,-
